"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"1",1966,"34_-83","34_-83","stratum","34_-83","",0.2558,0.0397743375,0.052903205,0.13531975,0.49900075,1.3777635,2.13536025,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"2",1967,"34_-83","34_-83","stratum","34_-83","",0.2268735,0.0385323225,0.050440375,0.12249425,0.443271,1.2081,1.71284775,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"3",1968,"34_-83","34_-83","stratum","34_-83","",0.2116175,0.03694029,0.04771866,0.1151655,0.40355825,1.071176,1.52968975,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"4",1969,"34_-83","34_-83","stratum","34_-83","",0.233239,0.04215154,0.054366345,0.12961675,0.4403935,1.1877825,1.7198675,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"5",1970,"34_-83","34_-83","stratum","34_-83","",0.229531,0.0437655125,0.0567812,0.12880275,0.42813075,1.0889585,1.598596,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"6",1971,"34_-83","34_-83","stratum","34_-83","",0.365919,0.0713265025,0.093923095,0.20674225,0.67280125,1.7199965,2.305501,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"7",1972,"34_-83","34_-83","stratum","34_-83","",0.3198465,0.064878675,0.082420215,0.18183,0.57898325,1.4030415,1.9414875,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"8",1973,"34_-83","34_-83","stratum","34_-83","",0.413799,0.090838015,0.11281035,0.23527925,0.72376825,1.7720515,2.48067725,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"9",1974,"34_-83","34_-83","stratum","34_-83","",0.276654,0.061732595,0.078268205,0.161112,0.480647,1.188833,1.62034375,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"10",1975,"34_-83","34_-83","stratum","34_-83","",0.254077,0.057602915,0.07060385,0.1506145,0.43211975,1.019185,1.34893525,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"11",1976,"34_-83","34_-83","stratum","34_-83","",0.255258,0.0590484875,0.074912045,0.15132375,0.43446575,1.009033,1.3673915,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"12",1977,"34_-83","34_-83","stratum","34_-83","",0.218703,0.0515962475,0.063512745,0.132328,0.37466525,0.851449899999999,1.15639975,0.222222222222222,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"13",1978,"34_-83","34_-83","stratum","34_-83","",0.215525,0.050504765,0.063668585,0.131155,0.3700605,0.84516995,1.11968875,0.222222222222222,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"14",1979,"34_-83","34_-83","stratum","34_-83","",0.1889165,0.0442084575,0.057460885,0.113528,0.321939,0.7131825,0.939016,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"15",1980,"34_-83","34_-83","stratum","34_-83","",0.128828,0.0301723675,0.037780465,0.079678275,0.2173595,0.4901712,0.66248935,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"16",1981,"34_-83","34_-83","stratum","34_-83","",0.0698497,0.016415445,0.020557505,0.04264125,0.1190845,0.2620545,0.341306125,0.222222222222222,1,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"17",1982,"34_-83","34_-83","stratum","34_-83","",0.05480075,0.0123706175,0.015864975,0.032849925,0.0910525,0.2071592,0.27431365,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"18",1983,"34_-83","34_-83","stratum","34_-83","",0.05619905,0.0131180725,0.016167725,0.033714975,0.094314825,0.2144016,0.27155505,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"19",1984,"34_-83","34_-83","stratum","34_-83","",0.0846454,0.020096425,0.02454894,0.050650475,0.13984575,0.3091648,0.405365375000001,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"20",1985,"34_-83","34_-83","stratum","34_-83","",0.06151265,0.0143354925,0.01787892,0.036943925,0.10366875,0.2312111,0.2873595,0,0,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"21",1986,"34_-83","34_-83","stratum","34_-83","",0.0594583,0.01341219,0.017397785,0.035975075,0.09768785,0.20160885,0.259388975,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"22",1987,"34_-83","34_-83","stratum","34_-83","",0.0591477,0.0142523,0.01764001,0.036087325,0.097386175,0.2041281,0.262181425,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"23",1988,"34_-83","34_-83","stratum","34_-83","",0.061177,0.01527293,0.01858691,0.037806025,0.1022425,0.2132062,0.272175625,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"24",1989,"34_-83","34_-83","stratum","34_-83","",0.04970245,0.0123458275,0.014802785,0.030396125,0.0826026,0.16850455,0.222422275,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"25",1990,"34_-83","34_-83","stratum","34_-83","",0.0407307,0.0102870375,0.012610775,0.0251651,0.067867875,0.1403364,0.174950025,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"26",1991,"34_-83","34_-83","stratum","34_-83","",0.0291941,0.0067987175,0.0085608,0.0177773,0.047407325,0.09985675,0.124619525,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"27",1992,"34_-83","34_-83","stratum","34_-83","",0.02854215,0.0066519465,0.0082722595,0.017676975,0.0452922,0.09638674,0.11890345,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"28",1993,"34_-83","34_-83","stratum","34_-83","",0.02345615,0.00547822675,0.0071335735,0.014635325,0.03750275,0.07829904,0.096731095,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"29",1994,"34_-83","34_-83","stratum","34_-83","",0.0233723,0.0051799415,0.006744009,0.01416765,0.037055575,0.0729081549999999,0.0925401575,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"30",1995,"34_-83","34_-83","stratum","34_-83","",0.02002555,0.0045197015,0.006004614,0.0123328,0.032803475,0.06440376,0.08074625,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"31",1996,"34_-83","34_-83","stratum","34_-83","",0.0210233,0.00470134175,0.006003534,0.012950175,0.0344724,0.06640787,0.084941775,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"32",1997,"34_-83","34_-83","stratum","34_-83","",0.0253609,0.005576603,0.007358589,0.0156261,0.0415517,0.0825920749999999,0.103048,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"33",1998,"34_-83","34_-83","stratum","34_-83","",0.02288025,0.0049967575,0.006629119,0.01401325,0.037007825,0.073330255,0.092657065,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"34",1999,"34_-83","34_-83","stratum","34_-83","",0.01313465,0.0029258575,0.0037712485,0.0079019475,0.02126625,0.04121581,0.05219139,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"35",2000,"34_-83","34_-83","stratum","34_-83","",0.0119965,0.002661857,0.003515586,0.0073415025,0.019757725,0.0382418599999999,0.04626957,0,1,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"36",2001,"34_-83","34_-83","stratum","34_-83","",0.00970337,0.002059372,0.00274071,0.00589315,0.015933125,0.03028857,0.036585915,0,2,0,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
"37",2002,"34_-83","34_-83","stratum","34_-83","",0.008638615,0.00175485775,0.002312977,0.0052692675,0.014074525,0.02747514,0.03271348,0.111111111111111,2,1,2,1,"stratum","first_difference_Spatial","Golden-winged Warbler"
