"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"1",1966,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0215526531390489,0.00117572270111893,0.00193855194269527,0.00824539106893137,0.0545524814214325,0.198954496372902,0.29758475937168,0,0,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"2",1967,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0217997828972915,0.00135145675878891,0.00212976843772369,0.00844326101085376,0.0521436338435389,0.180653428007275,0.25649774562115,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"3",1968,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0178842319293633,0.00111779258491242,0.00171679047926388,0.00718648966199315,0.0429768257060395,0.141299140222036,0.19877823652015,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"4",1969,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0154027154817388,0.000976748688149355,0.00160488408130931,0.00613458062665369,0.0357172807798871,0.111859793475559,0.156986155670991,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"5",1970,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0203486616035643,0.0013479046497413,0.00214332237043629,0.00853196143114393,0.0462462960592088,0.141386180952277,0.198548573623112,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"6",1971,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0184090062024983,0.00133637945451427,0.00199602552604091,0.00771290448982883,0.0407927783694844,0.12121768316195,0.173633047230868,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"7",1972,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0141600831430641,0.00107362246985335,0.00166749023704425,0.00611952449394988,0.0310919313206974,0.0885901485193689,0.12575444847821,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"8",1973,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.014799736889241,0.00112505835447203,0.00182155896380747,0.00634560814976079,0.0312775443811098,0.0879194478944461,0.123688417912522,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"9",1974,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0174195924737208,0.00144058117904963,0.00227753407672242,0.00779391651672323,0.0370810617470609,0.100661576003426,0.146005442281092,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"10",1975,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0204962548688087,0.0018439118757963,0.00273369509823696,0.00914132841795258,0.0420754309916176,0.114797603955872,0.157100644948259,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"11",1976,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0164935780748687,0.0014917669358831,0.0022439860100372,0.00767500066005218,0.0331140171076819,0.0881681450275309,0.12156662114687,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"12",1977,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0163082623979247,0.00161415516030855,0.00241484600633907,0.00760326252615501,0.0324859323026602,0.0835387182296495,0.116041661450124,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"13",1978,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0168830853299629,0.00185880962071747,0.0026457182669145,0.00823149720930466,0.0327526379302192,0.0840360536455214,0.113187786946511,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"14",1979,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0171517435282495,0.00196635115364235,0.0027931709287473,0.0085104749692765,0.0330391401992434,0.0816492015581173,0.111724841610936,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"15",1980,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0167002859507365,0.00191876183228085,0.00282729097784306,0.00844937911556826,0.0317631046246202,0.0763570481712928,0.101076796789002,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
