ID Code,Previous ID Code,Year,Observer,State,County,Latitude,Longitude,Date,Time,Duration,GWWA,BWWA,BRWA,LAWA,COMMENTS
KY09Baxley87.NE.2,,2009,Danna Baxley,KY,Bell,36.85337,-83.58982,6/2/09,7:08,,0,0,0,0,Most of these sites are characterized by very small patches of appropriate GWWA habitat.  Most surrounding habitat is late successional and not suitable.
KY03Patton87.12,,2009,Danna Baxley,KY,Bell,36.84189,-83.57569,6/2/09,8:20,,0,0,0,0,Most of these sites are characterized by very small patches of appropriate GWWA habitat.  Most surrounding habitat is late successional and not suitable.
KY03Patton87.7,,2009,Laura Patton,KY,Bell,36.63125,-83.87000,6/2/09,9:14,,0,0,0,0,1 EATO heard during playback and mobbing
KY03Patton87.6,,2009,Laura Patton,KY,Bell,36.62983,-83.86375,6/2/09,9:39,,0,0,0,0,"1 CERW heard during PPC and mobbing, 1 EATO seen during mobbing"
KY03Patton88.13,,2009,Jacob Stewart,KY,Harlan,36.82406,-83.24344,5/29/09,9:00,,0,0,0,0,will need good tires to conduct survey
MD01Boone69.11,,2009,Gwen Brewer,MD,Washington,39.69557,-78.21067,6/15/09,6:40,,0,0,0,0,this point should probably not be repeated (need a new one) given the extent of succession that has occurred adjacent to the small patch of shrub wetland
MD01Boone65.12,,2009,James McCann,MD,Garrett,39.63570,-79.35675,6/12/09,7:03,,0,0,0,0,
MD01Boone65.13,,2009,James McCann,MD,Garrett,39.68561,-79.29878,6/12/09,7:38,,0,0,0,0,
NC01Smalling28.2,,2009,Curtis Smalling,NC,Graham,35.39357,-83.72079,6/4/09,6:24,,0,0,0,0,
NC09Smalling28.SE.3,,2009,Curtis Smalling,NC,Graham,35.41137,-83.82196,6/4/09,6:56,,0,0,0,0,lots of birds here including multiple warbler species
NC02Smalling13.06,,2009,Curtis Smalling,NC,Watauga,36.31410,-81.75344,5/15/09,9:04,,0,0,0,0,
NC02Smalling31.13,,2009,Curtis Smalling,NC,Yancey,35.95090,-82.46809,6/9/09,6:59,,0,0,0,0,
NC09Kelly50.NW.1,,2009,Chris Kelly,NC,Graham,35.33638,-83.92086,6/8/09,7:48,,0,0,0,0,This quad all new locations
NJ02Miranda19.16,,2009,Dennis Miranda,NJ,Sussex,41.31290,-74.67788,5/22/09,6:45,,0,0,0,0,
NJ02Miranda19.17,,2009,Dennis Miranda,NJ,Sussex,41.33142,-74.73382,5/22/09,7:20,,0,0,0,0,
NJ02Miranda19.19,,2009,Dennis Miranda,NJ,Sussex,41.25793,-74.70625,5/23/09,8:30,,0,0,0,0,
NJ02Miranda24NE2,,2009,Dennis Miranda,NJ,Sussex,41.07117,-74.57785,5/23/09,5:05,,0,0,0,0,
NJ02Miranda24.15,,2009,Dennis Miranda,NJ,Sussex,41.07248,-74.60583,5/23/09,5:30,,0,0,0,0,
NJ02Miranda24NE1,,2009,Dennis Miranda,NJ,Sussex,41.05268,-74.62022,5/23/09,6:15,,0,0,0,0,
NJ09Miranda24.NE.4,,2009,Dennis Miranda,NJ,Sussex,41.08942,-74.58650,5/23/09,7:20,,0,0,0,0,
NJ01MirandaSoff20.8,,2009,Dennis Miranda,NJ,Sussex,41.18917,-74.45058,5/23/09,7:45,,0,0,0,0,
NJ00Miranda20.6,,2009,Dennis Miranda,NJ,Sussex,41.11889,-74.50180,5/28/09,9:00,,0,0,0,0,
NY02Langen99.08,,2009,"Austin Hicks, Tom Langen",NY,St. Lawrence,44.57286,-75.30419,5/27/09,7:08,,0,0,0,0,
NY02Langen100.10,,2009,Austin Hicks,NY,St. Lawrence,44.72570,-74.81237,5/18/09,5:45,,0,0,0,0,
NY02Langen100.09,,2009,Austin Hicks,NY,St. Lawrence,44.72530,-74.96679,5/18/09,9:17,,0,0,0,0,
NY02Langen100.08,,2009,Austin Hicks,NY,St. Lawrence,44.72346,-74.96012,5/18/09,9:44,,0,0,0,0,
NY02Langen100.07,,2009,Austin Hicks,NY,St. Lawrence,44.72172,-74.95889,5/18/09,10:07,,0,0,0,0,
NY02Langen100.06,,2009,Austin Hicks,NY,St. Lawrence,44.71896,-74.96445,5/18/09,10:30,,0,0,0,0,
NY09Hicks100.NW.01,,2009,Austin Hicks,NY,St. Lawrence,44.82116,-74.93733,6/4/09,8:53,,0,0,0,0,
NY09Hicks100.NW.02,,2009,Austin Hicks,NY,St. Lawrence,44.84204,-74.91194,6/4/09,9:24,,0,0,0,0,
NY00Wells25,,2009,Austin Hicks,NY,St. Lawrence,44.85264,-74.90350,6/4/09,9:50,,0,0,0,0,
NY09Hicks100.NW.04,,2009,Austin Hicks,NY,St. Lawrence,44.85889,-74.82066,6/5/09,8:08,,0,0,0,0,
NY09Hicks100.NW.05,,2009,Austin Hicks,NY,St. Lawrence,44.96331,-74.84302,6/5/09,9:30,,0,0,0,0,
NY01Wells1,,2009,Austin Hicks,NY,St. Lawrence,44.93689,-74.71385,6/5/09,8:45,,0,0,0,0,
NY09Hicks100.NE.02,,2009,Austin Hicks,NY,St. Lawrence,44.81105,-74.74378,6/3/09,6:15,,0,0,0,0,
NY09Hicks100.NE.03,,2009,Austin Hicks,NY ,St. Lawrence,44.81363,-74.76450,6/3/09,6:50,,0,0,0,0,
NY09Hicks100.NE.04,,2009,Austin Hicks,NY,St. Lawrence,44.86052,-74.75884,6/3/09,8:00,,0,0,0,0,
NY09Hicks100.NE.06,,2009,Austin Hicks,NY,St. Lawrence,44.82727,-74.73525,6/3/09,9:20,,0,0,0,0,
NY03Gonzalez101.20,,2009,Austin Hicks,NY,St. Lawrence,44.86957,-74.47541,5/19/09,6:00,,0,0,0,0,
NY03Gonzalez101.19,,2009,Austin Hicks,NY,St. Lawrence,44.86527,-74.49361,5/19/09,6:33,,0,0,0,0,
NY03Gonzalez101.18,,2009,Austin Hicks,NY,St. Lawrence,44.85988,-74.52849,5/19/09,7:10,,0,0,0,0,
NY03Gonzalez101.16,,2009,Austin Hicks,NY,St. Lawrence,44.85624,-74.54756,5/19/09,7:45,,0,0,0,0,
NY03Gonzalez101.17,,2009,Austin Hicks,NY,St. Lawrence,44.85582,-74.55423,5/19/09,8:14,,0,0,0,0,
NY02LangonRogers92.18,,2009,Austin Hicks,NY,St. Lawrence,44.40691,-75.67568,6/2/09,9:10,,0,0,0,0,
NY02LangonRogers92.19,,2009,Austin Hicks,NY,St. Lawrence,44.41827,-75.68914,6/2/09,10:05,,0,0,0,0,
NY03Mazzocchi92.16,,2009,Austin Hicks,NY,St. Lawrence,44.42226,-75.69603,6/2/09,10:28,,0,0,0,0,
NY02LangonRogers92.11,,2009,Austin Hicks,NY,St. Lawrence,44.47886,-75.58461,6/2/09,5:35,,0,0,0,0,
NY02LangonRogers92.12,,2009,Austin Hicks,NY,St. Lawrence,44.45395,-75.60551,6/2/09,6:10,,0,0,0,0,
NY02Langen98.02,,2009,Austin Hicks,NY,St. Lawrence,44.54021,-75.48272,6/1/09,8:10,,0,0,0,0,
NY02Langen98.05,,2009,Austin Hicks,NY,St. Lawrence,44.54388,-75.51167,6/1/09,9:10,,0,0,0,0,
NY02Langen98.03,,2009,Austin Hicks,NY,St. Lawrence,44.55500,-75.50700,6/1/09,9:50,,0,0,0,0,
NY02Langen98.04,,2009,Austin Hicks,NY,St. Lawrence,44.55216,-75.49110,6/1/09,10:10,,0,0,0,0,
NY02LangenRogers93.16,,2009,Austin Hicks,NY,St. Lawrence,44.45269,-75.25517,5/28/09,9:18,,0,0,0,0,
NY02LangenRogers93.20,,2009,Austin Hicks,NY,St. Lawrence,44.44650,-75.27381,6/1/09,5:17,,0,0,0,0,
NY02LangenRogers93.19,,2009,Austin Hicks,NY,St. Lawrence,44.46550,-75.29108,6/1/09,5:58,,0,0,0,0,
NY02LangenRogers93.18,,2009,Austin Hicks,NY,St. Lawrence,44.47717,-75.30164,6/1/09,6:41,,0,0,0,0,
NY02LangenRogers93.14,,2009,Austin Hicks,NY,St. Lawrence,44.44248,-75.14893,5/28/09,7:20,,0,0,0,0,
NY02LangenRogers93.13,,2009,Austin Hicks,NY,St. Lawrence,44.45230,-75.15104,5/28/09,7:55,,0,0,0,0,
NY02LangenRogers93.15,,2009,Austin Hicks,NY,St. Lawrence,44.45976,-75.14883,5/28/09,8:25,,0,0,0,0,
NY00Young83.13,,2009,Austin Hicks,NY,Jefferson,43.75482,-76.02023,6/10/09,7:20,,0,0,0,0,
NY03Mazzocchi83.12,,2009,Austin Hicks,NY,Jefferson,43.84039,-75.91355,6/12/09,9:37,,0,0,0,0,
NY00Young83.12,,2009,Austin Hicks,NY,Jefferson,43.88260,-75.98242,6/13/09,8:53,,0,0,0,0,
NY00Young83.11,,2009,Austin Hicks,NY,Jefferson,43.89957,-75.95231,6/13/09,9:23,,0,0,0,0,
NY00Young83.1,,2009,Austin Hicks,NY,Jefferson,43.74578,-76.01242,6/10/09,6:40,,0,0,0,0,
NY03Mazzocchi83.1,,2009,Austin Hicks,NY,Jefferson,43.74201,-75.88992,6/10/09,8:27,,0,0,0,0,
NY03Mazzocchi83.2,,2009,Austin Hicks,NY,Jefferson,43.71139,-75.93008,6/10.2009,9:07,,0,0,0,0,
NY00Young83.2,,2009,Austin Hicks,NY,Oswego,43.59267,-76.01214,6/10/09,10:00,,0,0,0,0,
NY00Young83.4,,2009,Austin Hicks,NY,Oswego,43.54807,-75.97827,6/11/09,8:19,,0,0,0,0,
NY09Hicks83.SW.01,,2009,Austin Hicks,NY,Oswego,43.58378,-76.09245,6/11/09,9:15,,0,0,0,0,
NY09Hicks83.SW.02,,2009,Austin Hicks,NY,Oswego,43.58664,-76.12117,6/11/09,9:45,,0,0,0,0,
NY99Young73,,2009,Austin Hicks,NY,Oswego,43.51637,-76.23492,6/12/09,8:00,,0,0,0,0,
NY09Hicks83.SW.05,,2009,Austin Hicks,NY,Oswego,43.50795,-76.23225,6/12/09,8:26,,0,0,0,0,
NY00Young91.1,,2009,Austin Hicks,NY,Jefferson,44.10452,-76.07019,6/13/09,5:27,,0,0,0,0,
NY09Hicks91.SE.02,,2009,Austin Hicks,NY,Jefferson,44.09716,-76.04807,6/13/09,5:54,,0,0,0,0,
NY00Young91.2,,2009,Austin Hicks,NY,Jefferson,44.05744,-76.05031,6/13/09,6:23,,0,0,0,0,
NY00Young91.3,,2009,Austin Hicks,NY,Jefferson,44.08660,-75.98134,6/13/09,6:50,,0,0,0,0,
NY00Young91.4,,2009,Austin Hicks,NY,Jefferson,44.03384,-75.91786,6/13/09,7:20,,0,0,0,0,
NY04Roden/Langen97.2,,2009,Austin Hicks,NY,Essex,44.20088,-73.43509,6/6/09,9:50,,0,0,0,0,
NY04Roden/Langen97.3,,2009,Austin Hicks,NY,Essex,44.15131,-73.44804,6/6/09,10:20,,0,0,0,0,
NY09Hicks97.SE.04,,2009,Austin Hicks,NY,Essex,44.04883,-73.48789,6/7/09,9:45,,0,0,0,0,
NY09Hicks97.SE.05,,2009,Austin Hicks,NY,Essex,44.03188,-73.48672,6/7/09,10:20,,0,0,0,0,
NY09Hicks103.SW.01,,2009,Austin Hicks,NY,Clinton,44.62839,-73.67441,6/6/09,5:40,,0,0,0,0,
NY04Roden/Langen103.6,,2009,Austin Hicks,NY,Clinton,44.73364,-73.62549,6/6/09,6:30,,0,0,0,0,
NY09Hicks103.SW.03,,2009,Austin Hicks,NY,Clinton,44.64425,-73.60567,6/6/09,7:11,,0,0,0,0,
NY04Roden/Langen103.8,,2009,Austin Hicks,NY,Clinton,44.63465,-73.60397,6/6/09,7:35,,0,0,0,0,
NY04Roden/Langen103.9,,2009,Austin Hicks,NY,Clinton,44.63570,-73.58296,6/6/09,8:00,,0,0,0,0,
nyfegan52.16,,2009,Dennis Miranda,NY,Greene,42.32500,-73.95710,6/2/09,7:00,,0,0,0,0,
nyfegan52.18,,2009,Dennis Miranda,NY,Greene,42.31320,-74.00970,6/2/09,7:32,,0,0,0,0,
nyfegan52.19,,2009,Dennis Miranda,NY,Greene,42.38022,-74.00338,6/2/09,8:05,,0,0,0,0,
NY02W&WS37.07,,2009,Dennis Miranda,NY, West,41.66700,-73.69870,6/1/09,5:45,,0,0,0,0,none; new residences everywhere except near wetlands
ny02w&ws37.10,,2009,Dennis Miranda,NY,West,41.66530,-73.70900,6/1/09,7:07,,0,0,0,0,
NY02W&WS37.17,,2009,Dennis Miranda,NY,West,41.71348,-73.70770,,,,0,0,0,0,
NY02W&WS37.19,,2009,Dennis Miranda,NY,West,41.70650,-73.70790,6/1/09,8:40,,0,0,0,0,
NY09Miranda32.SW.1,,2009,Dennis Miranda,NY,Orange,41.18032,-74.22012,5/30/09,5:30,,0,0,0,0,original point inaccessible in exclusive community; alt. id
NY99Confer32.10,,2009,Dennis Miranda,NY,Orange,41.22383,-74.22067,5/30/09,6:09,,0,0,0,0,
NY00Young92.5.2,,2009,"Jeff Bolsinger, Amy Finfera",NY,Jefferson,44.08920,-75.59180,6/2/09,7:03,,0,0,0,0,"Wet successional woods near a shrub wetland.  This spot seemed a little too grown up, but I've found winged warblers in other locations that look just like this one."
PA01Fedak58.7,,2009,Jeff Larkin,PA,Armstrong,40.69250,-79.39720,5/19/09,8:50,,0,0,0,0,
PA01Fedak58.10,,2009,Jeff Larkin,PA,Indiana,40.52950,-79.38810,5/19/09,10:45,,0,0,0,0,
PA09Larkin62.NE.3,,2009,Jeff Larkin,PA,Centre,40.98138,-77.73292,5/19/09,6:44,,0,0,0,0,
PA09Larkin62.NE.5,,2009,Jeff Larkin,PA,Centre,40.98309,-77.71475,5/19/09,6:15,,0,0,0,0,
